filename,function_name,n,time,memory,storage,marshaling,no_cache,hash,intra_cache,inter_cache
teste_multiprocessing.py,fib,33,3.49241,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,33,0.22705,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,34,3.37144,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,34,0.37241,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,35,3.68802,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,35,0.23056,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,36,3.39632,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,36,0.23419,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,37,3.87499,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,37,0.22988,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,38,3.58457,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,38,0.23142,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,39,4.10882,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,39,0.23009,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,40,4.01637,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,40,0.2306,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,41,4.24698,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,41,0.23075,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,42,4.18254,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,42,0.22827,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,43,4.46331,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,43,0.23298,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,44,4.38897,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,44,0.22914,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,45,4.69501,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,45,0.23464,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,46,4.43498,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,46,0.23081,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,47,4.81974,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,47,0.23538,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,48,4.82912,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,48,0.22876,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,49,4.80766,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,49,0.23141,2d-mp,pickle,db,False,md5,True,True
